repository,degree_centrality,pagerank_score,hub_score,authority_score,id,stars,language,source_edge_count,target_edge_count,total_edge_count
AtomicGameEngine/AtomicGameEngine,0.2572311148553777,0.0005419717526370428,0.0003074716182657901,0.0003074716182657901,AtomicGameEngine/AtomicGameEngine,3437,c++,890,26,916
frappe/frappe,0.2906486941870261,0.0005415353497956272,0.0007041045878607153,0.0007041045878607155,frappe/frappe,10020,python,581,454,1035
wangzhe3224/awesome-systematic-trading,0.28110081437798373,0.000539699024194008,0.0006793279418132348,0.0006793279418132364,wangzhe3224/awesome-systematic-trading,4067,html,35,966,1001
pingcap/tidb,0.2816624543667509,0.0005394504426408553,0.0005370130970167146,0.0005370130970167142,pingcap/tidb,40036,go,241,762,1003
plastic-labs/honcho,0.30047739399045215,0.0005391885488087345,0.0008002173147832599,0.0008002173147832597,plastic-labs/honcho,3076,python,262,808,1070
Eventual-Inc/Daft,0.30216231395675375,0.0005382626507044957,0.0008523243015830753,0.000852324301583074,Eventual-Inc/Daft,5443,rust,1013,63,1076
AstrBotDevs/AstrBot,0.30131985397360295,0.0005380824714415749,0.0008030192663367768,0.0008030192663367773,AstrBotDevs/AstrBot,30964,python,1055,18,1073
lakehq/sail,0.30216231395675375,0.0005378184561020394,0.0008534571234694142,0.0008534571234694133,lakehq/sail,2153,rust,439,637,1076
supabase/supabase-py,0.29879247402415055,0.0005373111756211451,0.0008437538784755701,0.0008437538784755689,supabase/supabase-py,2497,python,122,942,1064
hatchet-dev/hatchet,0.29121033417579334,0.0005372934233426034,0.000719585853372048,0.0007195858533720481,hatchet-dev/hatchet,7029,go,511,526,1037
Skyvern-AI/skyvern,0.2968267340634653,0.0005367539871415127,0.0007841594331701304,0.0007841594331701304,Skyvern-AI/skyvern,21427,python,867,190,1057
ToolJet/ToolJet,0.2774501544509969,0.000536327046479407,0.00046369498726505666,0.000463694987265057,ToolJet/ToolJet,37814,javascript,836,152,988
